State,Total Cases,Total Deaths,Population,PopulationWeighted Density,retail,grocery,parks,transit,workplaces,residential,age,low indust toxins,low pollution health risk,Chron Low Resp Death Rate,age 65 years and over,Race param 1,Race param 2,Race param 3,Race param 4,Obesity Rates,Average Relative Humidity,Average Dew Point,Average Annual Temperature (C),Average Annual Precipitation mm,State of emergency declared,Avge Spring Temp,Avge Spring Precip,relative humidity morning,relative humidity afternoon,UV Index
Alabama,1024856,33816,4903185,942.2,-50,-18,-1,-40,-36,12,39.2,40,38,58,17,27.6,1.8,4.3,67.7,32.1,77.1,26.5,17.1,1480,13-Mar,16.9,136,83,48,10
Alaska,44703,711,731545,1834.1,-41,-17,29,-52,-32,9,34.6,44,4,35.3,11.9,5,8.7,7.2,64.4,27.2,71.6,54,-3,572,11-Mar,-4.1,29,74,54,4
Arizona,1594710,45741,7278717,3582.5,-43,-19,-23,-47,-37,11,37.9,27,21,41.2,18,6,4.5,31.6,78,26.3,70.9,50.7,15.7,345,11-Mar,14.6,20,43,17,10
Arkansas,517433,8782,3017804,807.9,-36,-3,25,-33,-29,8,38.3,26,23,61.7,16.8,16.2,2,7.6,76.5,33,38.5,32.5,15.8,1284,11-Mar,15.7,127,83,48,8
California,5778940,142314,39512223,8213,-53,-27,-61,-59,-42,16,36.8,5,19,30.9,14.3,7,17,39.3,59.5,23.9,61,44.2,15.2,563,4-Mar,13.9,49,76,61,9
Colorado,923842,36526,5758736,3500,-47,-21,10,-58,-41,12,36.9,13,32,44,14.2,5.5,4.5,21.7,84.1,20.3,54.1,28.8,7.3,405,10-Mar,6.5,40,57,29,10
Connecticut,1306282,99401,3565287,3583,-50,-26,23,-61,-38,13,41,14,27,28.9,17.2,12.9,5.5,16.5,75.2,24.9,69.2,40.7,9.4,1279,10-Mar,8.5,110,75,47,8
Delaware,265962,10064,973764,2643.5,-47,-27,37,-56,-39,12,40.7,45,45,40.4,18.7,24.3,4.7,9.5,68.2,28.5,70.9,45.8,12.9,1160,12-Mar,11.8,102,76,50,8
Florida,4705283,133035,21477737,3750.6,-57,-33,-70,-70,-45,15,42.2,34,9,37,20.5,17.5,3.6,26.1,74.6,26,74.5,62.7,21.5,1385,1-Mar,21.1,92,86,52,11
Georgia,2254874,66828,10617423,1550.9,-50,-22,-13,-59,-42,13,36.9,30,31,45.7,13.8,33.2,4.8,9.7,58.3,27.1,71.1,53.4,17.5,1287,14-Mar,17.3,106,85,45,11
Hawaii,87528,1185,1415872,8479.7,-55,-26,-67,-76,-46,16,39.2,21,10,19.6,18.4,3.8,56.8,10.7,24.3,19,73.3,65.2,21.1,1618,4-Mar,20.3,151,69,55,10
